物	1225245
离	1222359
非	1219442
虽	1211358
云	1205872
似	1203009
万	1201402
至	1199059
干	1197831
通	1186869
认	1184729
失	1182384
火	1180390
哥	1176477
士	1175727
五	1170398
惊	1161953
魔	1160330
竟	1160070
姐	1158924
乎	1157322
剑	1151704
往	1143435
量	1142437
早	1138903
结	1132776
怕	1114820
流	1114438
突	1106693
坐	1106273
斯	1105720
音	1100301
紧	1099517
指	1099010
拉	1096796
杀	1095880
半	1095098
记	1094800
且	1092816
利	1091519
合	1085786
倒	1085421
书	1083351
度	1082785
微	1082510
步	1077549
教	1071585
喜	1069981
越	1069176
影	1067165
谁	1064240
冷	1063226
深	1060800
告	1054831
落	1054311
象	1041105
容	1038318
怪	1036985
传	1034638
钱	1034329
提	1026285
言	1026005
随	1016322
每	1015025
双	1011629
服	1011511
击	1010628
武	1003136
哪	998544
数	994719
站	994038
奇	982596
房	980289
管	979206
灵	978814
刻	977816
题	976178
衣	974727
周	972776
静	968467
伤	968363
百	962451
拿	958908
妈	956493
办	956075
星	955656
化	951401
功	945623
绝	943340
系	942245
般	940949
必	940785
业	938051
尔	936690
件	935235
血	933230
代	932729
精	932565
弟	931804
终	928837
近	925463
条	925439
青	914968
界	913395
司	911784
整	911668
欢	908850
字	906615
晚	904532
民	902697
帮	901633
切	900592
即	900101
忙	899024
交	898418
或	896787
暗	891081
夫	890506
员	887168
根	886057
石	885579
哈	879528
夜	877661
父	875667
制	870792
友	869919
阿	867275
息	864425
冲	862983
酒	862253
保	859752
片	859001
形	858843
阵	857774
南	856521
决	856467
请	856375
各	856128
报	856017
兴	854813
阳	850226
急	849907
语	843913
令	842791
错	839927
及	839825
刘	835052
极	832554
识	826907
备	823555
慢	820995
雪	820388
苦	810172
若	809209
领	808920
收	807363
底	806359
尽	805564
准	805527
华	800451
答	796906
众	796661
千	794964
消	792838
视	787375
罗	783224
敢	782369
留	778671
克	777926
乐	777260
够	768470
跑	767297
显	763327
嘴	762052
官	760400
断	759788
未	758953
势	756507
句	754300
求	749849
计	747431
论	744148
达	741782
则	740891
害	740250
八	740031
单	738919
久	737479
脚	735170
德	733775
元	732265
脑	728559
楚	728204
雨	725801
睛	724850
响	724098
刀	723425
确	722242
玉	721753
沉	718489
北	718033
格	715810
停	715545
陈	714404
市	712352
朝	709793
喝	707608
族	707445
江	705253
团	701923
母	701521
章	697369
装	695241
亮	693524
客	692916
照	692673
乱	692152
易	690500
足	680607
依	679811
黄	678776
修	678749
破	677496
台	676961
球	673782
呀	673765
院	672894
送	668592
包	667583
义	667264
诉	667093
攻	665395
丝	661300
围	659219
玩	658958
待	658854
复	656644
况	655809
楼	654626
丽	653445
痛	653298
梦	650909
呼	649070
摇	647544
期	647443
英	646331
低	646263
帝	643284
兄	642800
背	642470
持	641315
爷	641029
皇	640305
七	638221
六	635084
穿	634742
杨	633480
政	633183
运	630729
居	627014
叶	625969
热	625680
校	623489
谢	623220
曾	621971
古	621960
细	618534
产	617667
睡	616243
希	614576
速	614540
室	614287
旁	610425
另	608814
怀	607039
露	606979
异	605892
写	605147
鬼	604413
娘	603856
取	602170
式	600521
除	599918
级	599204
考	599063
建	598616
愿	597660
招	593719
饭	592046
布	591571
续	591245
程	590619
首	588887
观	588781
朋	588716
务	587619
掉	586059
赶	585731
忽	585369
注	583182
术	579874
甚	576087
差	573616
呵	570893
展	570379
争	569448
品	566800
兰	565307
宝	564720
香	563262
斗	562155
故	560446
雷	560379
念	559620
段	559051
顿	557768
角	557634
疑	556639
护	551817
闪	551016
木	547209
需	543409
调	542792
类	542775
妹	542424
爸	541485
线	539444
左	538289
游	537555
派	537090
谈	536829
激	535171
冰	534562
敌	534220
跳	532527
支	532396
约	526224
巴	523594
您	523541
顾	523266
肯	522835
醒	522582
铁	520031
抱	519992
淡	518865
造	518334
伙	518273
资	517472
群	516077
集	515762
联	514908
商	514550
号	513737
节	511250
讲	510842
掌	510260
赵	507405
密	506110
九	506014
病	505956
卫	504141
米	503964
威	503918
继	503302
渐	503123
统	503061
追	502402
亚	502177
简	501969
练	501341
基	499224
选	498189
推	497295
改	495567
退	494368
味	493741
份	493685
举	493503
示	492951
忍	492901
历	492045
器	489638
恐	489578
引	489419
试	489076
皮	487744
习	487160
靠	486494
导	486193
存	485467
莫	485268
志	485065
